incident_case_id,date,clearance_code_inc_type,PGPD Reporting Area,PGPD Sector,PGPD BEAT,street_number,street_address,latitude,longitude,location
PP24020800000446,02/08/2024 12:00:00 AM,THEFT FROM AUTO,508,TRU,K3,4200 BLOCK,4203 28TH AVE EB,38.83186914026737,-76.94667536020279,"(38.83186914026737,-76.94667536020279)"
PP24020600001384,02/06/2024 12:00:00 AM,"AUTO, STOLEN",110,A,A4,8100 BLOCK,8101 15TH AVE,38.98902106285095,-76.98112411797047,"(38.98902106285095,-76.98112411797047)"
PP24020800000345,02/08/2024 12:00:00 AM,ACCIDENT WITH IMPOUND,312,G,G2,6500 BLOCK,6510 MARTIN LUTHER KING JUNIOR HWY WB,38.90831255912781,-76.89385394752026,"(38.90831255912781,-76.89385394752026)"
PP24020600001074,02/06/2024 12:00:00 AM,SEX OFFENSE,701,E,E3,10100 BLOCK,10115 PRINCE PL,38.89223647117615,-76.8325023651123,"(38.89223647117615,-76.8325023651123)"
PP24020400000604,02/04/2024 12:00:00 AM,"AUTO, STOLEN",858,E,E2,9400 BLOCK,9401 LOTTSFORD RD EB,38.905687898397446,-76.84136061370373,"(38.905687898397446,-76.84136061370373)"
PP24020300002072,02/03/2024 12:00:00 AM,ACCIDENT,236,B,B4,,ANNAPOLIS RD WB / VETERANS PKWY NB,38.95161956548691,-76.88532377779484,"(38.95161956548691,-76.88532377779484)"
PP24020200000389,02/02/2024 12:00:00 AM,ACCIDENT,930,C,C3,4400 BLOCK,4408 GREENWOOD RD,39.04774796962738,-76.91878828406334,"(39.04774796962738,-76.91878828406334)"
PP24020200002265,02/02/2024 12:00:00 AM,ACCIDENT,502,K,K2,3100 BLOCK,3100 GOOD HOPE AVE,38.84892947971821,-76.9568459391594,"(38.84892947971821,-76.9568459391594)"
PP24020700002384,02/07/2024 12:00:00 AM,"ROBBERY, COMMERCIAL",415,H,H2,4800 BLOCK,4825 MARLBORO PIKE EB,38.872879564762115,-76.92994311451912,"(38.872879564762115,-76.92994311451912)"
PP24020200000419,02/02/2024 12:00:00 AM,THEFT FROM AUTO,332,G,G5,3200 BLOCK,3201 75TH AVE,38.931606471538544,-76.88401144742966,"(38.931606471538544,-76.88401144742966)"
PP24020300000517,02/03/2024 12:00:00 AM,THEFT FROM AUTO,157,A,A7,8300 BLOCK,8348 12TH AVE,38.99623888731003,-76.98637343943119,"(38.99623888731003,-76.98637343943119)"
PP24020400001398,02/04/2024 12:00:00 AM,SEX OFFENSE,103,B,B7,9300 BLOCK,9308 CHERRY HILL RD,39.01789239048958,-76.93584860861301,"(39.01789239048958,-76.93584860861301)"
PP24020800001174,02/08/2024 12:00:00 AM,"ROBBERY, COMMERCIAL",940,C,C1,11000 BLOCK,11011 BALTIMORE AVE NB,39.03364039957523,-76.90894578397274,"(39.03364039957523,-76.90894578397274)"
PP24020600001397,02/06/2024 12:00:00 AM,THEFT FROM AUTO,702,E,E3,100 BLOCK,129 KETTERING DR,38.888955637812614,-76.80986461043358,"(38.888955637812614,-76.80986461043358)"
PP24020300001964,02/03/2024 12:00:00 AM,ACCIDENT WITH IMPOUND,234,B,B4,6100 BLOCK,6100 ANNAPOLIS RD WB,38.93948048353195,-76.9115704447031,"(38.93948048353195,-76.9115704447031)"
PP24020200002146,02/02/2024 12:00:00 AM,ASSAULT,305,G,G3,1400 BLOCK,1408 EARLY OAKS LN,38.90962488949299,-76.91714785993099,"(38.90962488949299,-76.91714785993099)"
PP24020200001495,02/02/2024 12:00:00 AM,THEFT,424,H,H6,3400 BLOCK,3400 WALTERS LN,38.84302397072315,-76.8915573656559,"(38.84302397072315,-76.8915573656559)"
PP24020500001853,02/05/2024 12:00:00 AM,THEFT,441,H,H2,5700 BLOCK,5741 SILVER HILL RD NB,38.85417881608009,-76.90632110834122,"(38.85417881608009,-76.90632110834122)"
PP24020700000380,02/07/2024 12:00:00 AM,"AUTO, STOLEN",415,H,H2,1400 BLOCK,1417 BILLINGS AVE,38.87025488913059,-76.93388010561466,"(38.87025488913059,-76.93388010561466)"
PP24020300000748,02/03/2024 12:00:00 AM,THEFT,424,H,H6,5600 BLOCK,5608 ROCK QUARRY TER,38.840071231126785,-76.91025811433792,"(38.840071231126785,-76.91025811433792)"
PP24020400000227,02/04/2024 12:00:00 AM,"AUTO, STOLEN",720,H,H7,5100 BLOCK,5115 FOREST PINES DR,38.82629172503948,-76.84431336820126,"(38.82629172503948,-76.84431336820126)"
PP24020600002436,02/06/2024 12:00:00 AM,THEFT,508,K,K3,4200 BLOCK,4223 28TH AVE EB,38.83154106140137,-76.94536302983761,"(38.83154106140137,-76.94536302983761)"
PP24020600000987,02/06/2024 12:00:00 AM,"AUTO, STOLEN",424,H,H6,3300 BLOCK,3337 WALTERS LN,38.84400822222233,-76.89221352338791,"(38.84400822222233,-76.89221352338791)"
PP24020300000094,02/03/2024 12:00:00 AM,ACCIDENT WITH IMPOUND,262,B,B1,,63RD PL / LANDOVER RD EB,38.93324689567089,-76.90796153247356,"(38.93324689567089,-76.90796153247356)"
PP24020600000838,02/06/2024 12:00:00 AM,"AUTO, STOLEN & RECOVERED",424,H,H6,5900 BLOCK,5958 SOUTH HIL MAR CIR,38.84269589185715,-76.90336836874485,"(38.84269589185715,-76.90336836874485)"
PP24020500000548,02/05/2024 12:00:00 AM,"AUTO, STOLEN",508,TRU,K3,4800 BLOCK,4855 SAINT BARNABAS RD SB,38.82366706430912,-76.95422127842903,"(38.82366706430912,-76.95422127842903)"
PP24020500002356,02/05/2024 12:00:00 AM,ACCIDENT WITH IMPOUND,701,E,E3,,WHITE HOUSE RD / HARRY S TRUMAN DR,38.867302149534225,-76.82758110761642,"(38.867302149534225,-76.82758110761642)"
PP24020200001394,02/02/2024 12:00:00 AM,"ROBBERY, OTHER",826,D,D1,9500 BLOCK,9514 NORDIC DR,38.98508405685425,-76.84595377743244,"(38.98508405685425,-76.84595377743244)"
PP24020200000351,02/02/2024 12:00:00 AM,"AUTO, STOLEN",507,K,K3,3700 BLOCK,3737 BRANCH AVE SB,38.838758900761604,-76.94765961170197,"(38.838758900761604,-76.94765961170197)"
PP24020400000484,02/04/2024 12:00:00 AM,"AUTO, STOLEN",715,E,E4,3300 BLOCK,3307 VALLEY FOREST DR,38.84335206449032,-76.83512702584267,"(38.84335206449032,-76.83512702584267)"
PP24020200000985,02/02/2024 12:00:00 AM,ASSAULT,827,D,D2,7000 BLOCK,7011 PALAMAR TER,38.98574022948742,-76.8321742862463,"(38.98574022948742,-76.8321742862463)"
PP24020200001298,02/02/2024 12:00:00 AM,"AUTO, STOLEN & RECOVERED",940,C,C1,10500 BLOCK,10515 BALTIMORE AVE NB,39.02740681171417,-76.917475938797,"(39.02740681171417,-76.917475938797)"
PP24020500000343,02/05/2024 12:00:00 AM,"AUTO, STOLEN",605,K,K6,2500 BLOCK,2513 CORNING AVE,38.807919055223465,-76.96340760588646,"(38.807919055223465,-76.96340760588646)"
PP24020600001344,02/06/2024 12:00:00 AM,THEFT FROM AUTO,858,E,E2,9100 BLOCK,9103 BASIL CT,38.91454614698887,-76.84923461079597,"(38.91454614698887,-76.84923461079597)"
PP24020200000311,02/02/2024 12:00:00 AM,ACCIDENT,409,H,H1,1300 BLOCK,1300 CAPITOL HEIGHTS BLVD,38.87123914062977,-76.91944444179535,"(38.87123914062977,-76.91944444179535)"
PP24020600001212,02/06/2024 12:00:00 AM,"ROBBERY, OTHER",135,A,A2,5800 BLOCK,5815 EASTERN AVE,38.960805892944336,-76.9945755302906,"(38.960805892944336,-76.9945755302906)"
PP24020400000817,02/04/2024 12:00:00 AM,ACCIDENT,114,A,A6,,23RD AVE / FORDHAM ST,38.97983472049236,-76.9709535241127,"(38.97983472049236,-76.9709535241127)"
PP24020800001580,02/08/2024 12:00:00 AM,ACCIDENT WITH IMPOUND,135,A,A2,2400 BLOCK,2451 CHILLUM RD EB,38.95129147171974,-76.96898503601551,"(38.95129147171974,-76.96898503601551)"
PP24020600001159,02/06/2024 12:00:00 AM,"ROBBERY, VEHICLE",516,J,J1,1100 BLOCK,1101 KENNEBEC ST,38.819730058312416,-76.98998236656189,"(38.819730058312416,-76.98998236656189)"
PP24020200001358,02/02/2024 12:00:00 AM,THEFT,116,A,A3,7000 BLOCK,7012 18TH AVE,38.97655388712883,-76.98013986647129,"(38.97655388712883,-76.98013986647129)"
